asn,asn_name,asn_org,attacks,unique_ips,max_risk_score,risk_level,risk_reasons,tor_exit_ips,spamhaus_drop_hits,spamhaus_asndrop,bph_flag,bph_label,bph_confidence
AS212238,CDNEXT,DATACAMP-MNT,56,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS9541,CYBERNET-AP,Cyber Internet Services (Private) Limited,55,3,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS11426,,,54,2,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS4811,CHINANET-SHANGHAI-MAN,Wu Xiao Li,51,2,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS53667,PONYNET,FranTech Solutions,51,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS24444,CMNET-V4shandong-AS-AP,jie huang,48,8,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS149440,EVOXTSDNBHD-AS-AP,Evoxt Sdn Bhd administrator,48,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS208949,hbing-as,hbing-mnt,48,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS4847,,,48,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS10617,,,46,7,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS2119,TELENOR-NEXTEL,AS2119-MNT,45,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS14593,,,43,3,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS7922,COMCAST-7922,"Comcast Cable Communications, LLC",42,2,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS18403,FPT-VN,Nguyen Thanh Dat,41,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS48399,AS-LINXDATACENTER,LINXDC-NOC,40,2,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS40950,DEDIBYTE-LLC,"DediByte, LLC",39,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS29465,,,36,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS9009,,,35,5,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS20115,CHARTER-20115,Charter Communications LLC,35,2,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS201401,NewVM-AS,mnt-nl-newvm-1,35,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS12479,,,34,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS17639,CONVERGE-AS,Reyniel Reign Boniel,34,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS6849,UKRTELNET,Remiga Alexander,34,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS398101,,,33,3,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS212617,ALDEN-AS,ALDEN-MNT,33,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS21859,ZEN-ECN,Zenlayer Inc,32,3,25,low,repeated_attacks_ge_10;repeated_attacks_ge_2,0,0,False,False,,
AS701,UUNET,Verizon Business,32,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS7018,,,31,2,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS263790,263790,RED POWER INTERNET SRL,31,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS135523,MULTINET-IE-AS-AP,IP CORE,30,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS139952,TRIDATA-AS-ID,IRT-TRIDATA-ID,30,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS18881,,,30,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS28885,OMANTEL-NAP-AS,AS8529-MNT,30,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS31272,WILDPARK-AS,Alexander A. Lapidus,30,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS36925,ORG-ME1-AFRINIC,ISP Orange Morocco,29,4,25,low,repeated_attacks_ge_10;repeated_attacks_ge_5,0,0,False,False,,
AS141998,,,28,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS15081,OMNI-FIBER,Omni Fiber,28,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS265393,ASN265393,FIRENET SERVIÇOS DE TELECOMUNICAÇÕES LTDA,28,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS37705,,,28,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS50648,UAINET-AS,PE UAinet,28,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
AS216472,HS-SYR,Admin,27,1,25,low,repeated_attacks_ge_10,0,0,False,False,,
